Number_of_Survivors,Migration_route,serial,Coordinates_Fixed,Website_Date_Fixed,lat,lon,random,Region_of_Incident
,US-Mexico border crossing,180,"-111.47552','32.299867",2014-08-25,32.299867,-111.47552,0.561427149,North America
,,181,"-67.8186','18.3459",2014-08-28,18.3459,-67.8186,0.283557105,Caribbean
,US-Mexico border crossing,182,"-98.233616','27.033656",2014-08-27,27.033656,-98.233616,0.26195142,North America
15.0,,183,"-86.2866','23.6244",2014-08-31,23.6244,-86.2866,0.586459064,Caribbean
,Central Mediterranean,184,"12','33.5111",2014-08-29,33.5111,12.0,0.884634548,Mediterranean
,Central Mediterranean,185,"14','32.8879",2014-08-31,32.8879,14.0,0.078035548,Mediterranean
,Sahara Desert crossing,186,"15','27.922369",2014-08-31,27.922369,15.0,0.552099614,Northern Africa
,Sahara Desert crossing,187,"11','22.659193",2014-08-31,22.659193,11.0,0.485819204,Northern Africa
,Sahara Desert crossing,188,"27','19.5197871",2014-08-31,19.5197871,27.0,0.154055371,Northern Africa
,,189,"-101.074','19.1452",2014-08-31,19.1452,-101.074,0.159905167,Central America
17.0,,190,"-88.384764','21.897364",2014-09-01,21.897364,-88.384764,0.556692737,Central America
0.0,US-Mexico border crossing,191,"-112.07349','31.93067",2014-09-03,31.93067,-112.07349,0.374135581,North America
0.0,US-Mexico border crossing,192,"-109.549239','31.33915",2014-09-06,31.33915,-109.549239,0.787439314,North America
0.0,US-Mexico border crossing,193,"-113.02776','32.00936",2014-09-07,32.00936,-113.02776,0.378813873,North America
,,194,"-98.463359','18.600776",2014-09-08,18.600776,-98.463359,0.713131547,Central America
1.0,,195,"114','22.2344",2014-09-09,22.2344,114.0,0.096384732,Eastern Asia
0.0,US-Mexico border crossing,196,"-113.163509','32.35267",2014-09-10,32.35267,-113.163509,0.555446142,North America
,US-Mexico border crossing,197,"-98.3798819','26.1850517",2014-09-10,26.1850517,-98.3798819,0.748981616,North America
0.0,US-Mexico border crossing,198,"-112.33998','32.6185",2014-09-11,32.6185,-112.33998,0.235515056,North America
10.0,Central Mediterranean,199,"14.4141','33.9069",2014-09-12,33.9069,14.4141,0.83430267,Mediterranean
12.0,Central Mediterranean,200,"16.106','34.9853",2014-09-12,34.9853,16.106,0.001141791,Mediterranean
0.0,US-Mexico border crossing,201,"-112.051033','31.76753",2014-09-12,31.76753,-112.051033,0.232748176,North America
72.0,Central Mediterranean,202,"29.6864','31.5253",2014-09-14,31.5253,29.6864,0.721847089,Mediterranean
36.0,Central Mediterranean,203,"13.8702','33.5048",2014-09-14,33.5048,13.8702,0.738544622,Mediterranean
55.0,Central Mediterranean,204,"16.9684','33.6053",2014-09-21,33.6053,16.9684,0.380345573,Mediterranean
0.0,US-Mexico border crossing,205,"-111.68045','31.75811",2014-09-23,31.75811,-111.68045,0.837181811,North America
,Syria to Türkiye,206,"38','36.89501978",2014-09-24,36.89501978,38.0,0.322753344,Western Asia
,Syria to Türkiye,207,"38','36.89090973",2014-09-24,36.89090973,38.0,0.819007291,Western Asia
0.0,US-Mexico border crossing,208,"-112.02004','32.15356",2014-09-25,32.15356,-112.02004,0.238036166,North America
0.0,US-Mexico border crossing,209,"-113.1603','32.1823",2014-09-25,32.1823,-113.1603,0.933956659,North America
0.0,US-Mexico border crossing,210,"-111.9822','31.763",2014-09-26,31.763,-111.9822,0.195088956,North America
,Western Mediterranean,211,"-5.39635','35.9858",2014-10-01,35.9858,-5.39635,0.910457437,Mediterranean
,Horn of Africa to Yemen crossing,212,"49.4824','12.7047",2014-10-02,12.7047,49.4824,0.311467828,Eastern Africa
85.0,Central Mediterranean,213,"14.6338','33.5963",2014-10-02,33.5963,14.6338,0.30083014,Mediterranean
3.0,,214,"-79.8528','25.7529",2014-10-06,25.7529,-79.8528,0.003878715,Caribbean
646.0,Central Mediterranean,215,"15.4907','35.898",2014-10-10,35.898,15.4907,0.647704573,Mediterranean
,English Channel to the UK,216,"1.810620814','50.9815873",2014-07-10,50.9815873,1.810620814,0.115343239,Europe
,English Channel to the UK,217,"1.826413661','51.00534374",2014-07-10,51.00534374,1.826413661,0.273421368,Europe
,,218,"-111.1196215','30.5398333",2014-10-12,30.5398333,-111.1196215,0.055058639,Central America
,,219,"98.2892','9.00988",2014-10-14,9.00988,98.2892,0.415170005,South-eastern Asia
,Horn of Africa to Yemen crossing,220,"48.8232','12.6082",2014-10-16,12.6082,48.8232,0.322886484,Eastern Africa
,Horn of Africa to Yemen crossing,221,"48','12.5331",2014-10-17,12.5331,48.0,0.953788992,Eastern Africa
,Horn of Africa to Yemen crossing,222,"48','12.5331",2014-10-17,12.5331,48.0,0.038702599,Eastern Africa
,Horn of Africa to Yemen crossing,223,"48','12.5331",2014-10-17,12.5331,48.0,0.889174727,Eastern Africa
,Horn of Africa to Yemen crossing,224,"48','12.5331",2014-10-17,12.5331,48.0,0.879533849,Eastern Africa
,Horn of Africa to Yemen crossing,225,"47.9224','12.5331",2014-10-17,12.5331,47.9224,0.24228273,Eastern Africa
,Horn of Africa to Yemen crossing,226,"47.9224','12.5331",2014-10-17,12.5331,47.9224,0.643967028,Eastern Africa
,Horn of Africa to Yemen crossing,227,"47.9224','12.5331",2014-10-17,12.5331,47.9224,0.128161,Eastern Africa
,English Channel to the UK,228,"1.85869','50.951314",2014-10-20,50.951314,1.85869,0.990879511,Europe
,English Channel to the UK,229,"1.85869','50.9513",2014-10-24,50.9513,1.85869,0.785674234,Europe
11.0,,230,"-80.321','24.5671",2014-10-27,24.5671,-80.321,0.869366077,Caribbean
93.0,Central Mediterranean,231,,2014-10-29,,,0.765473561,Mediterranean
,,232,"-102.553','23.6345",2014-10-31,23.6345,-102.553,0.62811505,Central America
6.0,Syria to Türkiye,233,"29.112145','41.2344374",2014-11-08,41.2344374,29.112145,0.169354623,Western Asia
5.0,Eastern Mediterranean,234,"26.532','39.279",2014-11-08,39.279,26.532,0.085514609,Mediterranean
,Horn of Africa to Yemen crossing,235,"43.52799','12.36166",2014-11-11,12.36166,43.52799,0.530317149,Eastern Africa
,English Channel to the UK,236,"2.2574','50.9966",2014-11-19,50.9966,2.2574,0.90758397,Europe
,Central Mediterranean,237,"12.9199','36.3151",2014-11-26,36.3151,12.9199,0.486739226,Mediterranean
,Central Mediterranean,238,"13.1616','35.9246",2014-11-26,35.9246,13.1616,0.13683389,Mediterranean
,Western Balkans,239,"22.3723774','43.7871261",2014-11-30,43.7871261,22.3723774,0.352839845,Europe
,English Channel to the UK,240,"2','50.8476",2014-12-01,50.8476,2.0,0.76480124,Europe
75.0,Central Mediterranean,241,"13.0737','34.1618",2014-12-05,34.1618,13.0737,0.240611182,Mediterranean
28.0,Western Mediterranean,242,"-2.38403','36.3992",2014-12-05,36.3992,-2.38403,0.492644986,Mediterranean
,Horn of Africa to Yemen crossing,243,"43.15973','13.49112",2014-12-07,13.49112,43.15973,0.316627935,Western Asia
,English Channel to the UK,244,"1.0437','51.1208",2014-12-12,51.1208,1.0437,0.273044399,Europe
,Caribbean to US,245,"-80.2881','23.6445",2014-12-19,23.6445,-80.2881,0.445759016,Caribbean
21.0,Western Mediterranean,246,"-5.80353','35.8468",2014-12-19,35.8468,-5.80353,0.626386743,Mediterranean
,Central Mediterranean,247,"13.7109','34.8138",2014-12-23,34.8138,13.7109,0.095184238,Mediterranean
,Central Mediterranean,248,"16.6113','34.3071",2014-12-24,34.3071,16.6113,0.130424029,Mediterranean
,Central Mediterranean,249,"19.0503','39.9771",2014-12-28,39.9771,19.0503,0.438325784,Mediterranean
2.0,Eastern Mediterranean,250,"27.36418','36.9993",2014-12-29,36.9993,27.36418,0.26000918,Mediterranean
,Sahara Desert crossing,251,"11.858396','25.131133",2014-11-30,25.131133,11.858396,0.699074114,Northern Africa
,Central Mediterranean,252,"11.109411','33.3482565",2014-12-30,33.3482565,11.109411,0.753248486,Mediterranean
,,253,"93.21449103','14.60759586",2014-12-31,14.60759586,93.21449103,0.271295298,South-eastern Asia
,Horn of Africa to Yemen crossing,254,"41.2808577','9.1303782",2014-09-30,9.1303782,41.2808577,0.978708483,Eastern Africa
,US-Mexico border crossing,255,"-103.40325','29.53547",2014-09-30,29.53547,-103.40325,0.650228303,North America
,US-Mexico border crossing,256,,2014-01-02,,,0.16753641,North America
,US-Mexico border crossing,257,,2014-02-26,,,0.183104143,North America
,US-Mexico border crossing,258,,2014-03-27,,,0.303899249,North America
,US-Mexico border crossing,259,,2014-04-12,,,0.677407369,North America
,US-Mexico border crossing,260,,2014-04-15,,,0.659754539,North America
,US-Mexico border crossing,261,,2014-05-03,,,0.975843937,North America
,US-Mexico border crossing,262,,2014-06-17,,,0.685776952,North America
,US-Mexico border crossing,263,,2014-06-17,,,0.626720477,North America
,US-Mexico border crossing,264,,2014-07-06,,,0.934724261,North America
,US-Mexico border crossing,265,,2014-09-09,,,0.667183107,North America
,US-Mexico border crossing,266,"-112.70088','32.11158",2014-10-01,32.11158,-112.70088,0.573989852,North America
,US-Mexico border crossing,267,,2014-10-03,,,0.175099518,North America
